"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Tobias Harris","PHI",28,1,1,0,26.6,20,8,15,53.3,3,4,75,1,1,100,3,6,9,3,1,0,1,2,37.3,0,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,0,25,"2020-12-31"
"Malcolm Brogdon","IND",28,1,1,0,36.9,17,5,13,38.5,2,4,50,5,6,83.3,0,4,4,5,2,3,0,2,36.3,0,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,1,18,"2020-12-31"
"Josh Hart","NOP",25,1,1,0,34.3,12,3,9,33.3,3,7,42.9,3,4,75,1,10,11,2,1,1,0,2,30.2,1,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,1,18,"2020-12-31"
"Norman Powell","TOR",27,1,1,0,34.2,17,7,13,53.8,2,7,28.6,1,1,100,0,4,4,1,3,2,1,2,29.3,0,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0,16,"2020-12-31"
"Ben Simmons","PHI",24,1,1,0,24.6,9,3,7,42.9,1,1,100,2,2,100,2,8,10,8,2,2,0,3,37,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,22,"2020-12-31"
"Domantas Sabonis","IND",24,1,1,0,37,25,10,14,71.4,2,2,100,3,3,100,2,9,11,7,1,0,0,2,47.7,1,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,38,"2020-12-31"
"Nickeil Alexander-Walker","NOP",22,1,1,0,19.1,14,6,13,46.2,2,5,40,0,0,0,0,3,3,1,3,2,0,1,22.1,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,0,11,"2020-12-31"
"Seth Curry","PHI",30,1,1,0,24.8,21,7,12,58.3,5,7,71.4,2,2,100,0,1,1,3,1,1,0,1,28.7,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,0,21,"2020-12-31"
"Daniel Gafford","CHI",22,1,1,0,22.3,15,7,8,87.5,0,0,0,1,2,50,3,2,5,2,1,2,1,3,32,0,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,21,"2020-12-31"
"Joel Embiid","PHI",26,1,1,0,26.7,21,7,11,63.6,1,2,50,6,8,75,0,9,9,2,0,0,2,2,40.8,0,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,28,"2020-12-31"
"Nicolo Melli","NOP",29,1,1,0,16.6,5,1,2,50,1,2,50,2,2,100,0,2,2,3,1,1,0,0,13.9,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,11,"2020-12-31"
"OG Anunoby","TOR",23,1,1,0,35,5,1,10,10,0,7,0,3,4,75,2,5,7,2,1,1,0,3,18.4,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,1,3,"2020-12-31"
"Fred VanVleet","TOR",26,1,1,0,35.5,25,9,19,47.4,4,9,44.4,3,3,100,1,4,5,7,1,1,1,0,46.5,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,0,30,"2020-12-31"
