"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG.","X3PM","X3PA","X3P.","FTM","FTA","FT.","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","X...","GP.RANK","W.RANK","L.RANK","MIN.RANK","PTS.RANK","FGM.RANK","FGA.RANK","FG..RANK","X3PM.RANK","X3PA.RANK","X3P..RANK","FTM.RANK","FTA.RANK","FT..RANK","OREB.RANK","DREB.RANK","REB.RANK","AST.RANK","TOV.RANK","STL.RANK","BLK.RANK","PF.RANK","FP.RANK","DD2.RANK","TD3.RANK","X....RANK","X3PTMissed","FG_Missed","FTMissed","score","day"
"Kyrie Irving","BKN",28,1,1,0,25.3,26,10,16,62.5,4,7,57.1,2,2,100,1,3,4,4,1,0,0,3,35.8,0,0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0,26,"2020-12-22"
"Kevin Durant","BKN",32,1,1,0,24.9,22,7,16,43.8,1,2,50,7,7,100,1,4,5,3,1,3,1,3,43.5,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,0,23,"2020-12-22"
"Spencer Dinwiddie","BKN",27,1,1,0,20,9,2,6,33.3,1,3,33.3,4,4,100,0,5,5,4,3,0,0,1,18,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,0,12,"2020-12-22"
"DeAndre Jordan","BKN",32,1,1,0,17.1,4,2,3,66.7,0,0,0,0,2,0,2,9,11,1,3,1,1,2,21.7,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,12,"2020-12-22"
"Joe Harris","BKN",29,1,1,0,20.8,10,4,8,50,2,5,40,0,0,0,2,5,7,2,2,0,1,2,22.4,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0,14,"2020-12-22"
"Caris LeVert","BKN",26,1,1,0,24.8,20,6,17,35.3,3,5,60,5,6,83.3,1,8,9,5,2,2,1,1,45.3,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,11,1,24,"2020-12-22"
"Ivica Zubac","LAC",23,1,1,0,26.5,11,4,5,80,0,0,0,3,4,75,3,3,6,1,1,1,1,4,24.7,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,15,"2020-12-22"
"Paul George","LAC",30,1,1,0,35.8,33,13,18,72.2,5,8,62.5,2,2,100,0,6,6,3,5,1,0,3,42.7,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,0,32,"2020-12-22"
"Markieff Morris","LAL",31,1,0,1,19,5,1,3,33.3,1,2,50,2,3,66.7,1,3,4,1,0,0,0,0,11.3,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,7,"2020-12-22"
"Jarrett Allen","BKN",22,1,1,0,19.6,8,2,3,66.7,0,0,0,4,5,80,3,4,7,2,2,1,2,0,26.4,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,18,"2020-12-22"
